1010 P21 sparkle  放射短条围成圆焰火环 | 命中爆点
1011 P21 sparkle  四叶风车炸成放射尖刺 | 命中爆点
1012 P21 arc      尖刃旋转收成细虚弧 | 斩击
1013 P21 arc      碗形宽月牙边缘散成点 | 斩击
1020 P21 arc      粗月牙两端卷钩再收窄 | 斩击
1021 P21 arc      月牙配虚线弧向外收缩 | 斩击
1022 P21 blob     脑状团块弯成虾形 | 命中爆点
1023 P21 blob     梳纹圆球带缺口渐收小 | 命中爆点
1030 P21 arc      豆形月牙旋成四角尖线 | 斩击
1031 P21 blob     三叶小叉胀成涡卷圆盘 | 命中爆点
1032 P21 blob     四角星胀成颗粒盘化圈 | 命中爆点
1033 P21 blob     短划散成云团再镂空圈 | 环境氛围
1053 P22 blob     缠绕线团旋转变小 | 施法起手
1054 P22 blob     三瓣颗粒团胀缩复散 | 增益光环
1055 P22 flower   旋转叶片收成齿轮方块 | 施法起手
1056 P22 flower   六叶风车放大后转成十字 | 施法起手
1063 P22 blob     乱线团胀大成球再散开 | 环境氛围
1064 P22 blob     四须乱线团旋转胀大 | 减益标记
1065 P22 streak   横向波浪笔触旋转拉长 | 弹道拖尾
1066 P22 flower   四叶风车展开成十字刃 | 施法起手
1073 P22 dust     点屑围成开口圆缩成团 | 环境氛围
1074 P22 flower   玫瑰状线盘胀大后化点 | 增益光环
1075 P22 streak   斜向打结线尾拖长变细 | 弹道拖尾
1076 P22 blob     泼墨斑块连成一串消散 | 减益标记
1101 P23 arc      锯齿弧月渐展成一圈碎齿环 | 斩击
1102 P23 flame    逗号形小火舌尾端卷曲 | 环境氛围
1103 P23 sparkle  多钩尖星收束成圆刺球 | 命中爆点
1104 P23 ring     三股逗号臂旋成漩涡环 | 施法起手
1111 P23 ring     虚线椭圆散成放射条束 | 施法起手
1112 P23 blob     实心圆团胀成多瓣花环 | 命中爆点
1113 P23 sparkle  四角菱星胀成十字花框 | 拾取闪光
1114 P23 ring     粗圆环胀成齿瓣边环 | 增益光环
1121 P23 cone     圆角三角块碎成斜散片 | 命中爆点
1122 P23 ring     点环收拢成尖刺缠环 | 减益标记
1123 P23 blob     五爪海星状溅块炸散 | 命中爆点
1124 P23 flower   三瓣花团胀开散成点 | 增益光环
1156 P24 sparkle  四叶弯刃风车星收十字 | 斩击
1157 P24 ring     点线三股旋成漩涡环 | 施法起手
