id                  dmg    rad    rng     cd  noise     kb
ember_shot           26   None  300.0    5.0   70.0    0.0
falling_rocks        26  140.0  160.0   12.0  150.0   46.0
quake_split          20  190.0  160.0   14.0  200.0   78.0
frost_nova           18  112.0  160.0    9.0  150.0    0.0
leaf_blade           18   None  240.0    6.5   55.0    0.0
ice_shard            14   None  280.0    6.0   55.0    0.0
snake_bite           13   None  220.0    4.5   40.0    0.0
cinder_sparks        12   None  260.0    7.0   85.0    0.0
fault_mark           12   None  260.0    8.5   70.0    0.0
ripple_cold          10  150.0  160.0    8.0   35.0    0.0
numb_dart             9   None  240.0    9.5   30.0    0.0
vine_grasp            8  112.0  160.0   11.0   25.0    0.0
spore_cloud           6  128.0  160.0   10.0   15.0    0.0
gear_guard            0   None  160.0   14.0   55.0    0.0
holy_cross            0   None  160.0   13.0   45.0    0.0
blood_hunger          0   None  160.0   16.0   60.0    0.0
battle_madness        0   None  160.0   18.0   40.0    0.0
swift_feather         0   None  160.0   12.0   20.0    0.0
